Open,High,Low,Volume,Close
0.0832408,0.0841395,0.0826285,263237512.5,0.083547
0.083547,0.0916755,0.0826285,698147054.5,0.088673
0.0883866,0.0883866,0.0859568,280505523.4,0.0865692
0.0865692,0.0874778,0.0859568,174908101.3,0.0868754
0.0868754,0.0901645,0.0859568,414484995,0.0898681
0.0898681,0.0916755,0.0892754,308091862.5,0.0892754
0.0892754,0.0898681,0.0883866,233476047.3,0.0892754
0.0892754,0.0910731,0.088673,158939830.6,0.0904804
0.0904804,0.0904804,0.0883866,153236925,0.0901645
0.0901645,0.0922879,0.0892754,132440994.7,0.0898681
0.0898681,0.0901645,0.0883866,181725087.9,0.0898681
0.0898681,0.0901645,0.0892754,157560532.4,0.0901645
0.0901645,0.0901645,0.0892754,129523241.9,0.0898681
0.0898681,0.0904804,0.0892754,162839089.7,0.0892754
0.0892754,0.0901645,0.0874778,175385565.6,0.0898681
0.0898681,0.0959027,0.0898681,425917479.1,0.0941151
0.0941151,0.0955867,0.0935026,163316525.6,0.0944014
0.0944014,0.0968212,0.0944014,223900405.7,0.0950138
0.0950138,0.0968212,0.0941151,292627595.3,0.0968212
0.0968212,0.0992315,0.0944014,266128718.9,0.0992315
0.0992315,0.100447,0.0977102,195067379.5,0.0977102
0.0977102,0.0980066,0.0959027,128037815.1,0.096209
0.096209,0.0974239,0.0935026,148170598.6,0.0941151
0.0941151,0.0944014,0.0922879,128860096.1,0.092594
0.092594,0.0941151,0.0922879,105517847.9,0.092594
0.092594,0.0959027,0.0910731,209629797.6,0.0950138
0.0950138,0.0968212,0.0944014,120000644.3,0.0955867
0.0955867,0.0955867,0.0928905,113899790.9,0.0928905
0.0928905,0.0935026,0.092594,89390411.6,0.092594
0.092594,0.0935026,0.0922879,122043106.5,0.0935026
0.0935026,0.0944014,0.0928905,101459405,0.0928905
0.0928905,0.0941151,0.0916755,137321708.4,0.0928905
0.0928905,0.0986188,0.0928905,455731880.9,0.0980066
0.0977102,0.0977102,0.0955867,140584334.6,0.0977102
0.0977102,0.102529,0.0974239,295280093.4,0.101049
0.101049,0.102529,0.0992315,224855351.5,0.0998239
0.105245,0.111282,0.105245,1070642461,0.106165
0.106165,0.107971,0.10346,308330603.3,0.103754
0.103754,0.103754,0.0992315,348516472.6,0.100447
0.100447,0.10495,0.100447,332840024.1,0.10495
0.10495,0.107971,0.10495,263051798.5,0.106165
0.106165,0.109178,0.106165,259338306,0.106165
0.106165,0.10736,0.105245,222388494.3,0.106165
0.106165,0.106165,0.101641,263741523.1,0.102529
0.102529,0.102846,0.0986188,385201052.9,0.102529
0.102529,0.103754,0.101049,249948335.8,0.101641
0.101641,0.101641,0.10013,149152056.3,0.100447
0.100447,0.10346,0.0986188,142255452,0.102529
0.102529,0.104356,0.102529,228807613.1,0.103754
0.103754,0.104356,0.101049,160239602.2,0.101938
0.101938,0.102846,0.101049,130239477.3,0.102529
0.102529,0.10346,0.101641,89602627.28,0.101641
0.101641,0.102529,0.100447,100610615.2,0.101049
0.101049,0.10346,0.101049,155597708.2,0.102846
0.102846,0.10736,0.102846,249656524.6,0.106165
0.106165,0.109483,0.105245,319842624.1,0.109178
0.109178,0.112475,0.107971,293290732,0.111893
0.112475,0.115527,0.112475,323927472.5,0.114304
0.114304,0.117591,0.111282,388251474.5,0.112475
0.112475,0.114304,0.110401,309630334.4,0.111282
0.111282,0.118263,0.11069,542788120.5,0.117919
0.117919,0.122659,0.117919,309152905.5,0.121226
0.121226,0.123005,0.119439,172335154.1,0.120348
0.120348,0.121226,0.101049,157136131.4,0.117591
0.117591,0.118847,0.113732,163157447.1,0.113732
0.113732,0.113732,0.111893,305439335.1,0.113732
0.113732,0.116705,0.113097,110822933.3,0.114627
0.114627,0.122097,0.114627,176844467.3,0.120673
0.121226,0.124881,0.121226,258781258.5,0.122659
0.122659,0.123676,0.117591,235412455.8,0.118263
0.118263,0.124575,0.118263,276341011.7,0.124298
0.124298,0.126362,0.123005,263476226.9,0.125524
0.125524,0.137819,0.124881,474167024,0.136931
